date,memberName,memberNameZh,qualification,sourceUrl,originalTitle
2025-04-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news14.htm,Congratulations to HCL member (MCIOB)
2025-04-18,,,"MCABE, CEng",https://www.hcl.hk/website/new-web-mobile/news14.htm,Congratulations to HCL member (MCABE&CEng)
2025-03-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news14.htm,Congratulations to HCL member (MCIOB)
2025-02-28,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MCIOB).
2025-02-28,,,"MCABE, CEng",https://www.hcl.hk/website/new-web-mobile/news14.htm,Congratulations to HCL member (MCABE&CEng)
2025-01-24,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MCIOB).
2024-12-31,,,"MIET, CEng",https://www.hcl.hk/website/new-web-mobile/news13.htm,Congratulations to HCL member (MIET&CEng)
2024-12-31,,,MHKICM,https://www.hcl.hk/website/new-web-mobile/news13.htm,Congratulations to HCL member (MHKICM)
2024-12-12,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news13.htm,Congratulations to HCL member (MCIOB)
2024-11-29,,,"MIAust, CPEng",https://www.hcl.hk/website/new-web-mobile/news13.htm,Congratulations to HCL member (MIAust&CPEng)
2024-11-29,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news13.htm,Congratulations to HCL member (MCIOB)
2024-10-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news13.htm,Congratulations to HCL member (MCIOB)
2024-09-30,,,MHKIE,https://www.hcl.hk/website/new-web-mobile/news12.htm,Congratulations to HCL member (MHKIE)
2024-09-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news12.htm,Congratulations to HCL member (MCIOB)
2024-04-29,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news-c11.htm,恭喜認證通會員(MCIOB)
2024-03-29,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news-c11.htm,恭喜認證通會員(MCIOB)
2024-02-28,,,"MICE, CEng",https://www.hcl.hk/website/new-web-mobile/news-c11.htm,恭喜認證通會員(MICE&CEng)
2023-12-20,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL members (MCIOB)
2023-11-30,,,"MICE, CEng",https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL members (MICE&CEng;)
2023-10-25,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL members (MCIOB)
2023-09-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL members (MCIOB)
2023-08-30,,,"MIMechE, CEng",https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL members (MIMechE&CEng;)
2023-08-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL members (MCIOB)
2023-07-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL members (MCIOB)
2023-06-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news9.htm,Congratulations to HCL members (MCIOB)
2023-05-30,,,"MIMechE, CEng",https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL members (MIMechE&CEng;)
2023-05-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news9.htm,Congratulations to HCL members (MCIOB)
2023-04-30,,,"MCIBSE, CEng",https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL members (MCIBSE&CEng;)
2023-02-28,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL members (MCIOB)
2023-01-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL members (MCIOB)
2022-12-15,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news8.htm,Congratulations to HCL members (MCIOB)
2022-11-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news8.htm,Congratulations to HCL members (MCIOB)
2022-11-10,,,"MIET, CEng",https://www.hcl.hk/website/new-web-mobile/news8.htm,Congratulations to HCL members (MIET&CEng)
2022-10-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news8.htm,Congratulations to HCL members (MCIOB)
2022-10-01,,,MRICS,https://www.hcl.hk/website/new-web-mobile/news8.htm,Congratulations to HCL members (MRICS)
2022-09-10,,,MCABE CEng,https://www.hcl.hk/website/new-web-mobile/news8.htm,Congratulations to HCL members (MCABE CEng)
2022-07-29,,,MRICS,https://www.hcl.hk/website/new-web-mobile/news8.htm,Congratulations to HCL members (MRICS)
2022-07-29,,,"MCABE, C.Build E",https://www.hcl.hk/website/new-web-mobile/news8.htm,Congratulations to HCL members (MCABE C Build E.)
2022-06-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news8.htm,Congratulations to HCL members (MCIOB)
2022-05-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news7.htm,Congratulations to HCL members (MCIOB)
2022-04-29,,,MCIBSE CEng,https://www.hcl.hk/website/new-web-mobile/news7.htm,Congratulations to HCL member (MCIBSE CEng)
2022-03-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news7.htm,Congratulations to HCL member (MCIOB)
2022-02-28,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news7.htm,Congratulations to HCL member (MCIOB)
2022-02-28,,,MCABE CEng,https://www.hcl.hk/website/new-web-mobile/news7.htm,Congratulations to HCL member (MCABE CEng)
2022-01-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news7.htm,Congratulations to HCL member (MCIOB)
2022-01-28,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news7.htm,Congratulations to HCL member (MCIOB)
2021-10-25,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news6.htm,Congratulations to HCL member (MCIOB)
2021-09-03,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news6.htm,Congratulations to HCL member (MCIOB)
2021-08-17,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news6.htm,Congratulations to HCL member (MCIOB)
2021-07-30,,,MRICS,https://www.hcl.hk/website/new-web-mobile/news6.htm,Congratulations to HCL member (MRICS)
2021-07-14,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news6.htm,Congratulations to HCL member (MCIOB)
2021-07-07,,,MCABE CEng,https://www.hcl.hk/website/new-web-mobile/news6.htm,Congratulations to HCL member (MCABE CEng)
2021-06-25,,,MCIOB,https://www.hcl.hk/website/new-web-pc/news-c5.htm,Congratulations to HCL member (MCIOB)
2021-06-01,,,MIMechE CEng,https://www.hcl.hk/website/new-web-mobile/news.htm,Congratulations to HCL member (MIMechE CEng).
2021-05-21,,,MIMechE CEng,https://www.hcl.hk/website/new-web-mobile/news5.htm,Congratulations to HCL member (MIMechE CEng)
2021-05-21,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news5.htm,Congratulations to HCL member (MCIOB)
2021-04-24,,,MIMechE CEng,https://www.hcl.hk/website/new-web-mobile/news5.htm,Congratulations to HCL member (MIMechE CEng)
2021-04-08,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news5.htm,Congratulations to HCL member (MCIOB)
2021-03-12,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news5.htm,Congratulations to HCL member (MCIOB)
2021-02-09,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news5.htm,Congratulations to HCL member (MCIOB)
2020-12-02,,,MIET CEng,https://www.hcl.hk/website/new-web-mobile/news5.htm,Congratulations to HCL member (MIET CEng)
2020-11-25,,,MIMechE CEng,https://www.hcl.hk/website/new-web-mobile/news5.htm,Congratulations to HCL member (MIMechE CEng)
2020-08-14,,,MAIB,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL member (MAIB)
2020-07-17,,,MHKIE,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL member (MHKIE)
2020-07-14,,,"MCIWEM, C. WEM, CEnv",https://www.hcl.hk/website/new-web-mobile/news4.htm,"Congratulations to HCL member (MCIWEM, C. WEM, CEnv)"
2020-04-20,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL member (MCIOB)
2020-02-24,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL member (MCIOB)
2020-01-23,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL member (MCIOB)
2019-10-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL member (MCIOB)
2019-10-29,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL member (MCIOB)
2019-10-16,,,"MIMechE, CEng",https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL member (MIMechE&CEng)
2019-10-11,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL member (MCIOB)
2019-07-03,,,MICE CEng,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL Club member (MICE CEng)
2019-05-21,,,MIPA,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL Club member (MIPA)
2019-05-21,,,MHKIE,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL Club member (MHKIE)
2019-05-09,,,"MCABE, C.Build E",https://www.hcl.hk/website/new-web-mobile/news4.htm,"Congratulations to HCL Club member (MCABE, C.Build E)"
2019-04-25,,,"MCABE, C.Build E",https://www.hcl.hk/website/new-web-mobile/news4.htm,"Congratualtions to HCL Club member (MCABE, C.Build E)"
2019-04-23,,,MDIA,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratualtions to HCL Club member (MDIA)
2019-03-28,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL Club member (MCIOB)
2019-03-19,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL Club member (MCIOB)
2019-02-12,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL Club member (MCIOB)
2019-02-01,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news4.htm,Congratulations to HCL Club member (MCIOB)
2018-08-27,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MCIOB).
2018-08-24,,,MSEE CEnv,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MSEE CEnv).
2018-08-22,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MCIOB).
2018-07-11,Dr. Tommy Ho,何忠明博士,FIET,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to Dr. Tommy Ho achieved the Fellow Member of the Institution of Engineering and Technology (FIET)
2018-04-21,Dr. Tommy Ho,何忠明博士,SD Planner,https://www.hcl.hk/website/new-web-mobile/news3.htm,Dr. Tommy Ho has achieved the SD Planner from the UNESCO ~ WISDP.
2017-12-29,,,MIMechE CEng,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MIMechE CEng).
2017-12-15,,,MCIBSE CEng,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MCIBSE CEng).
2017-10-31,,,MICE CEng,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MICE CEng).
2017-10-31,,,MCABE,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MCABE).
2017-09-29,Ng Pui Keung,吳沛強,IPA,https://www.hcl.hk/website/new-web-mobile/news-c3.htm,Congratulations to Ng Pui Keung was admitted as a member of Institute of Public Accountants (IPA)
2017-08-31,,,MIMechE CEng,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MIMechE CEng).
2017-07-31,,,MCIWEM,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MCIWEM).
2017-07-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MCIOB).
2017-07-31,,,MAIPM,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MAIPM).
2017-05-31,,,MHKIE,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MHKIE).
2017-04-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認証通會員 (MCIOB)
2017-02-28,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MCIOB).
2017-02-28,,,MCIBSE CEng,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MCIBSE CEng).
2016-11-30,,,MIMMM,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MIMMM).
2016-11-30,,,MIChemE,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認証通會員 (MIChemE)
2016-11-30,,,MCIWEM,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認証通會員 (MCIWEM)
2016-10-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MCIOB).
2016-09-30,,,MIET CEng,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulations to HCL Club members (MIET CEng).
2016-08-31,,,MIEAust,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulation to HCL Club members (MIEAust).
2016-08-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulation to HCL Club members (MCIOB).
2016-08-31,,,MCABE,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulation to HCL Club members (MCABE).
2016-07-31,,,MCABE,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (MCABE)
2016-07-31,,,ASSE,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulation to HCL Club members (ASSE).
2016-07-27,,,中國高級環境師證,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜 HCL 會員成功考取中國高級環境師證
2016-06-30,,,MCIWEM,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (MCIWEM)
2016-06-30,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (MCIOB)
2016-06-30,,,MCABE,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (MCABE)
2016-05-31,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (MCIOB)
2016-05-31,,,MCABE,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (MCABE)
2016-05-31,,,MAIB,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulation to HCL Club members (MAIB).
2016-05-31,Mr. He Da,何達,CPA UK,https://www.hcl.hk/website/new-web-mobile/news3.htm,Congratulation to Mr. He Da has achieved the CPA UK certificate.
2016-04-26,,,MCMI,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (MCMI)
2016-04-26,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (MCIOB)
2016-04-26,,,MCABE,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (MCABE)
2016-03-14,,,MCIOB,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (MCIOB)
2015-12-21,Dr. Tommy Ho,何忠明博士,CPA UK,https://www.hcl.hk/website/new-web-mobile/news.htm,何忠明博士成功獲得英國註冊會計師公會證書
2014-08-14,,,SEE/CEnv,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (SEE/CEnv)
2014-07-21,,,SEE/CEnv,https://www.hcl.hk/website/new-web-mobile/news-c2.htm,恭喜認證通會員(SEE/CEnv)
2012-12-31,,,AIB,https://www.hcl.hk/website/new-web-mobile/news-c2.htm,恭喜認證通會員(AIB)
2012-10-20,,,SEE,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (SEE)
2012-10-18,,,IES,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (IES)
2012-06-29,,,AIB,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (AIB)
2012-03-14,,,CIOB,https://www.hcl.hk/website/new-web-mobile/news-c2.htm,恭喜認證通會員(CIOB)
2011-12-23,,,SPE,https://www.hcl.hk/website/new-web-mobile/news.htm,恭喜認證通會員 (SPE)
2011-12-23,Ms. F. Chan,,"PEng (UK), MSPE",https://www.hcl.hk/website/new-web-pc/news/Congratulations-SPE-23-12-2011.pdf,"Congratulations to our HCL Club Member - Ms. F. Chan, PEng (UK) MSPE awarding the membership of the The Society of Professional Engineers (UK)"
2010-01-01,,,SPE,https://www.hcl.hk/website/new-web-mobile/news-c.htm,恭喜認證通會員（SPE）
